Date,ZoneID,AvgTemperature,Humidity,SpecialEvent,EnergyConsumption
2025-01-01,1,18.98,84.68,0,4019.09
2025-01-02,1,18.17,79.1,0,4055.38
2025-01-03,1,19.37,83.78,0,4449.31
2025-01-04,1,19.0,75.96,0,3831.4
2025-01-05,1,19.84,79.47,0,3909.6
2025-01-06,1,20.64,78.45,0,4140.68
2025-01-07,1,20.02,81.6,0,4306.98
2025-01-08,1,22.63,75.88,0,4037.23
2025-01-09,1,20.85,84.98,0,4105.38
2025-01-10,1,19.18,83.93,0,4346.1
2025-01-11,1,19.71,81.53,0,4088.58
2025-01-12,1,22.12,79.76,0,4047.34
2025-01-13,1,21.51,82.34,0,4178.4
2025-01-14,1,20.58,76.77,0,4460.55
2025-01-15,1,20.08,85.26,0,4199.18
2025-01-16,1,21.51,82.36,0,4379.16
2025-01-17,1,20.7,77.8,0,4165.55
2025-01-18,1,19.24,75.61,1,4742.1
2025-01-19,1,21.0,83.49,0,4094.25
2025-01-20,1,21.4,78.27,0,4084.88
2025-01-21,1,19.69,79.25,0,4299.69
2025-01-22,1,19.19,81.67,0,4311.81
2025-01-23,1,20.42,80.26,0,4205.91
2025-01-24,1,16.78,76.32,0,4009.32
2025-01-25,1,19.37,77.14,0,4249.42
2025-01-26,1,18.02,86.44,0,4053.01
2025-01-27,1,16.94,81.92,0,3923.03
2025-01-28,1,18.7,83.54,0,3986.75
2025-01-29,1,18.09,80.22,0,4224.52
2025-01-30,1,20.2,80.15,0,4252.33
2025-01-31,1,18.32,89.6,0,4360.07
2025-02-01,1,20.19,75.51,0,3836.41
2025-02-02,1,17.81,76.41,0,3970.49
2025-02-03,1,16.57,79.19,0,4363.71
2025-02-04,1,21.76,94.99,0,4161.24
2025-02-05,1,16.36,85.86,0,4191.61
2025-02-06,1,18.89,81.96,0,4263.51
2025-02-07,1,19.95,76.73,0,4105.98
2025-02-08,1,20.52,90.35,0,4299.53
2025-02-09,1,20.31,75.79,1,4525.68
2025-02-10,1,24.36,74.6,0,4048.14
2025-02-11,1,23.01,81.68,0,4226.21
2025-02-12,1,21.05,83.48,1,4677.45
2025-02-13,1,20.38,82.65,0,4270.29
2025-02-14,1,22.12,81.93,0,4275.33
2025-02-15,1,21.76,86.33,1,5017.56
2025-02-16,1,22.57,74.09,0,4290.52
2025-02-17,1,24.62,77.8,0,4525.45
2025-02-18,1,20.5,77.33,0,4128.43
2025-02-19,1,21.82,80.01,1,5124.34
2025-02-20,1,21.7,84.16,0,4245.49
2025-02-21,1,20.1,76.05,0,4129.36
2025-02-22,1,22.27,73.9,0,3905.24
2025-02-23,1,20.23,87.08,0,4338.65
2025-02-24,1,20.21,78.61,1,4903.93
2025-02-25,1,20.44,76.5,0,4234.58
2025-02-26,1,23.53,88.99,0,4241.76
2025-02-27,1,17.84,80.92,1,5096.1
2025-02-28,1,18.82,79.86,0,4191.43
2025-03-01,1,18.38,80.81,0,4250.69
2025-03-02,1,19.84,73.56,0,4373.79
2025-03-03,1,18.36,77.97,0,4728.79
2025-03-04,1,18.79,81.29,0,4543.65
2025-03-05,1,19.38,81.45,0,4312.12
2025-03-06,1,20.62,81.05,0,4187.97
2025-03-07,1,21.21,82.43,1,4976.8
2025-03-08,1,23.46,80.33,0,4054.84
2025-03-09,1,22.52,76.63,1,4648.26
2025-03-10,1,25.92,85.53,0,4312.52
2025-03-11,1,21.89,86.62,1,5012.27
2025-03-12,1,21.43,85.62,0,4068.07
2025-03-13,1,23.59,80.65,0,4175.74
2025-03-14,1,24.42,77.42,0,4507.19
2025-03-15,1,21.22,79.86,0,4095.49
2025-03-16,1,24.46,69.8,0,4316.51
2025-03-17,1,22.93,84.01,0,4244.55
2025-03-18,1,23.62,77.46,0,4308.18
2025-03-19,1,27.46,82.1,0,4883.52
2025-03-20,1,25.53,81.75,0,4395.54
2025-03-21,1,23.77,83.84,0,4395.46
2025-03-22,1,24.26,84.33,1,5081.11
2025-03-23,1,25.31,69.79,0,3875.41
2025-03-24,1,23.3,86.65,0,4151.63
2025-03-25,1,22.35,79.92,0,4102.85
2025-03-26,1,23.98,84.26,0,3846.05
2025-03-27,1,23.77,78.94,0,4506.95
2025-03-28,1,20.31,78.16,0,3925.22
2025-03-29,1,25.18,79.25,0,4048.11
2025-03-30,1,24.24,83.39,0,4136.94
2025-03-31,1,23.54,74.19,0,4151.0
2025-04-01,1,23.84,83.22,0,4228.25
2025-04-02,1,25.6,73.12,0,4358.39
2025-04-03,1,25.0,77.27,0,4452.76
2025-04-04,1,25.36,79.65,0,4314.66
2025-04-05,1,21.79,87.5,0,4124.82
2025-04-06,1,26.89,67.57,0,3932.62
2025-04-07,1,24.44,79.54,0,4313.26
2025-04-08,1,24.07,65.99,0,4035.83
2025-04-09,1,27.2,78.63,0,4399.25
2025-04-10,1,27.23,78.82,0,4618.42
2025-04-11,1,26.49,74.59,0,4567.18
2025-04-12,1,27.32,77.39,1,4969.83
2025-04-13,1,29.37,63.19,0,4169.8
2025-04-14,1,25.21,72.8,0,4232.44
2025-04-15,1,28.94,78.75,0,4673.73
2025-04-16,1,30.67,72.38,0,4692.65
2025-04-17,1,26.74,70.34,0,4554.36
2025-04-18,1,31.18,64.45,1,5251.81
2025-04-19,1,29.33,72.0,0,4656.48
2025-04-20,1,27.66,71.14,0,4205.9
2025-04-21,1,28.9,71.84,0,4692.36
2025-04-22,1,29.92,70.21,0,4902.88
2025-04-23,1,27.36,79.32,0,4516.91
2025-04-24,1,28.06,82.87,0,4648.81
2025-04-25,1,27.57,78.77,0,4617.11
2025-04-26,1,27.12,75.19,0,4019.77
2025-04-27,1,24.12,70.19,1,4577.54
2025-04-28,1,29.65,77.05,0,4803.63
2025-04-29,1,26.36,72.46,0,4503.05
2025-04-30,1,26.52,78.98,0,4460.1
2025-05-01,1,30.77,71.48,0,4819.66
2025-05-02,1,28.17,71.92,0,4419.16
2025-05-03,1,28.25,67.78,0,4464.44
2025-05-04,1,28.94,76.84,1,5090.56
2025-05-05,1,29.05,69.67,0,4296.32
2025-05-06,1,28.41,61.64,0,4772.52
2025-05-07,1,30.61,66.23,0,4212.98
2025-05-08,1,29.09,82.95,0,4635.56
2025-05-09,1,31.0,61.5,0,4791.52
2025-05-10,1,30.7,73.37,0,4752.42
2025-05-11,1,30.29,74.1,0,4424.61
2025-05-12,1,30.39,76.09,0,5058.02
2025-05-13,1,31.34,75.87,0,4939.96
2025-05-14,1,34.4,64.37,0,5016.83
2025-05-15,1,33.02,59.27,0,4869.38
2025-05-16,1,34.09,54.21,0,4764.48
2025-05-17,1,31.34,69.36,0,4616.44
2025-05-18,1,32.22,68.36,0,4864.61
2025-05-19,1,33.24,68.38,0,5068.38
2025-05-20,1,34.98,64.6,0,5017.61
2025-05-21,1,30.46,62.08,0,4631.33
2025-05-22,1,30.4,67.87,0,4750.77
2025-05-23,1,30.31,72.68,0,4742.03
2025-05-24,1,30.2,70.89,0,4305.27
2025-05-25,1,30.76,68.91,0,4638.38
2025-05-26,1,28.61,75.78,0,4588.79
2025-05-27,1,30.98,55.14,0,4721.03
2025-05-28,1,28.86,72.24,0,4418.76
2025-05-29,1,29.15,69.5,0,4416.09
2025-05-30,1,30.7,76.15,0,4760.72
2025-05-31,1,28.15,62.43,0,4231.91
2025-06-01,1,31.79,67.19,0,4781.52
2025-06-02,1,30.1,73.5,0,4644.4
2025-06-03,1,31.99,69.41,1,5252.41
2025-06-04,1,32.37,60.02,0,4649.83
2025-06-05,1,32.66,60.82,0,5062.32
2025-06-06,1,32.82,61.55,0,4869.77
2025-06-07,1,32.98,65.72,0,4875.33
2025-06-08,1,32.64,62.45,0,4565.27
2025-06-09,1,30.44,74.1,0,4723.44
2025-06-10,1,31.5,63.58,0,4790.18
2025-06-11,1,32.99,66.79,0,4711.84
2025-06-12,1,35.81,71.93,0,5228.94
2025-06-13,1,34.84,65.35,0,4916.29
2025-06-14,1,32.75,64.55,0,5096.03
2025-06-15,1,34.98,70.28,1,5773.22
2025-06-16,1,35.64,56.98,0,5436.44
2025-06-17,1,34.63,53.51,0,4960.29
2025-06-18,1,34.43,61.6,0,4813.06
2025-06-19,1,35.35,58.59,0,5332.9
2025-06-20,1,34.78,57.95,0,5287.99
2025-06-21,1,34.58,73.47,0,5076.21
2025-06-22,1,33.54,66.31,0,5075.31
2025-06-23,1,32.72,60.56,0,5084.33
2025-06-24,1,35.25,58.44,0,5238.46
2025-06-25,1,32.54,67.42,0,4794.96
2025-06-26,1,31.56,51.68,1,5317.28
2025-06-27,1,32.21,68.25,1,5384.31
2025-06-28,1,32.32,67.75,0,4582.06
2025-06-29,1,33.16,60.66,0,4801.35
2025-06-30,1,33.41,56.3,1,5620.14
2025-07-01,1,30.86,55.47,0,4702.27
2025-07-02,1,31.33,62.36,0,4399.86
2025-07-03,1,30.93,58.42,0,4823.46
2025-07-04,1,34.42,54.62,0,5184.71
2025-07-05,1,33.79,63.44,0,4914.17
2025-07-06,1,34.31,64.1,1,5272.63
2025-07-07,1,31.34,67.35,0,4647.23
2025-07-08,1,32.28,62.04,0,5224.51
2025-07-09,1,35.97,56.83,0,5254.22
2025-07-10,1,35.16,54.13,0,5496.65
2025-07-11,1,37.45,52.79,0,5508.1
2025-07-12,1,36.7,64.12,0,5274.71
2025-07-13,1,37.12,59.18,0,5196.33
2025-07-14,1,35.51,52.19,0,5520.32
2025-07-15,1,38.18,57.78,0,5464.85
2025-07-16,1,36.47,52.24,0,5310.98
2025-07-17,1,34.19,59.08,1,6057.47
2025-07-18,1,37.03,57.19,0,5361.57
2025-07-19,1,35.2,53.02,0,4865.39
2025-07-20,1,33.39,62.26,0,4506.44
2025-07-21,1,34.6,63.71,0,5307.41
2025-07-22,1,34.44,54.55,0,5169.59
2025-07-23,1,34.53,65.08,0,5093.08
2025-07-24,1,31.88,58.96,0,4829.08
2025-07-25,1,32.48,61.3,0,4809.28
2025-07-26,1,33.44,57.24,0,4882.51
2025-07-27,1,31.18,58.48,0,4409.47
2025-07-28,1,29.65,52.66,0,4658.95
2025-07-29,1,32.36,65.95,0,4989.83
2025-07-30,1,34.7,52.43,0,4997.72
2025-07-31,1,31.32,58.91,0,5143.5
2025-08-01,1,32.24,69.32,0,5250.24
2025-08-02,1,32.78,60.0,0,5343.47
2025-08-03,1,34.35,54.57,0,4855.92
2025-08-04,1,32.77,63.79,0,5000.89
2025-08-05,1,33.8,60.12,0,4699.67
2025-08-06,1,35.04,52.54,0,5156.2
2025-08-07,1,34.55,54.31,0,4878.69
